,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
UP00413|Elf4,0.07186769000725007,,UniPROBE,,9,,19443739,Ets Domain Family,,E74-like factor 4 (ets domain transcription factor),Mus Musculus,,56501,Elf4,AV314029 BC042423 ENSMUSG00000053512 Gm9907 MGC129343 MGC129361 Mef,NM_019680,40.0,,,,,,,,,,,,"[[[0.350, 0.139, 0.209, 0.302], [0.080, 0.359, 0.307, 0.254], [0.146, 0.214, 0.351, 0.289], [0.317, 0.199, 0.096, 0.388], [0.869, 0.010, 0.089, 0.032], [0.010, 0.827, 0.014, 0.149], [0.045, 0.010, 0.010, 0.935], [0.011, 0.010, 0.010, 0.969], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.881, 0.099], [0.010, 0.108, 0.868, 0.014], [0.157, 0.055, 0.397, 0.391], [0.421, 0.049, 0.084, 0.446], [0.224, 0.068, 0.204, 0.504], [0.144, 0.324, 0.132, 0.400]]]",Elf4
MS00296|BATF3,0.07283030309780619,,SELEX,,9,,23332764,Leucine Zipper Family,,"basic leucine zipper transcription factor, ATF-like 3",Homo Sapiens,293FT,55509,BATF3,,NM_018664,,,,,,,,,,,,,"[[[0.050, 0.124, 0.038, 0.788], [0.028, 0.013, 0.938, 0.021], [0.917, 0.026, 0.047, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.011, 0.010, 0.969, 0.010], [0.010, 0.010, 0.010, 0.970], [0.011, 0.969, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.052, 0.036, 0.902], [0.032, 0.927, 0.012, 0.029], [0.618, 0.042, 0.255, 0.085]]]",BATF3
MC00295|Esr1,0.07541678433231058,,Cistrome,,20,,,Hormone-nuclear Receptor Family,,estrogen receptor 1 (alpha),Mus Musculus,Uterus,13982,Esr1,AA420328 AU041214 ER-alpha ER[a] ERa ERalpha ESR Estr Estra Nr3a1,NM_007956,307.0,,,,,,6677(2/2),-62.8542,(0) denovo (1) denovo (2) denovo (3) ESR1 Esr1 (4) denovo (5) denovo (6) PPARG Pparg (7) denovo (8) NR1H4 Nr1h4 (9) denovo (10) PPARG::RXRA Pparg::Rxra (11) denovo (12) denovo (13) denovo (14) ESRRB Esrrb (15) PPARA Ppara (16) NR4A2 Nr4a2 (17) NR0B1 Nr0b1 (18) Nr2f2 (19) RORB Rorb (20) RARA Rara (21) RORA Rora (22) ESRRA Esrra (23) NR4A1 Nr4a1 (24) HNF4A Hnf4a (25) RXRA Rxra (26) NR6A1 Nr6a1 (27) SF1 Sf1,(0)  (1)  (2)  (3) Hormone-nuclear Receptor Family (4)  (5)  (6) Hormone-nuclear Receptor Family (7)  (8) Hormone-nuclear Receptor Family (9)  (10)  (11)  (12)  (13)  (14) Cys4 zinc finger of nuclear receptor type (15) Hormone-nuclear Receptor Family (16) Hormone-nuclear Receptor Family (17) Hormone-nuclear Receptor Family (18) Cys4 zinc finger of nuclear receptor type (19) Hormone-nuclear Receptor Family (20) Hormone-nuclear Receptor Family (21) Cys4 zinc finger of nuclear receptor type (22)  (23) Hormone-nuclear Receptor Family (24) Hormone-nuclear Receptor Family (25) Cys4 zinc finger of nuclear receptor type,,28.0,"[[[0.423, 0.239, 0.198, 0.140], [0.615, 0.052, 0.266, 0.067], [0.060, 0.004, 0.832, 0.104], [0.050, 0.012, 0.923, 0.015], [0.078, 0.048, 0.139, 0.734], [0.008, 0.903, 0.031, 0.058], [0.862, 0.013, 0.096, 0.029], [0.110, 0.400, 0.339, 0.150], [0.181, 0.340, 0.312, 0.167], [0.162, 0.344, 0.347, 0.147], [0.026, 0.083, 0.014, 0.877], [0.045, 0.018, 0.933, 0.004], [0.802, 0.132, 0.030, 0.035], [0.024, 0.939, 0.005, 0.032], [0.104, 0.840, 0.003, 0.053], [0.029, 0.407, 0.047, 0.516]]]",Esr1
MC00505|POLR2B,0.07648432775478525,,Cistrome,,16,,,DNA Polymerase-Beta Family,,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa",Homo Sapiens,K562,5431,POLR2B,POL2RB RPB2 hRPB140 hsRPB2,NM_000938,122.0,,,,,,6517(1/2),-22.1557,(0) CCNT2 (1) CCNT2 (2) SMARCA4 (3) GATA1 Gata1 (4) SMARCB1 (5) HMGN3 (6) SIRT6 (7) denovo (8) denovo (9) LMO2 Lmo2 (10) GATA2 Gata2,(0)  (1)  (2)  (3) GATA Domain Family (4)  (5)  (6)  (7)  (8)  (9)  (10) GATA Domain Family,,11.0,"[[[0.076, 0.431, 0.175, 0.318], [0.048, 0.569, 0.164, 0.219], [0.003, 0.032, 0.035, 0.930], [0.024, 0.063, 0.015, 0.898], [0.836, 0.071, 0.060, 0.034], [0.004, 0.090, 0.015, 0.891], [0.011, 0.930, 0.011, 0.048], [0.274, 0.013, 0.042, 0.671], [0.029, 0.372, 0.371, 0.227], [0.129, 0.350, 0.175, 0.346]]]",POLR2B
MS00320|JDP2,0.07743647722198177,,SELEX,,9,,23332764,Leucine Zipper Family,,Jun dimerization protein 2,Homo Sapiens,293FT,122953,JDP2,,NM_001135047|NM_001135048|NM_001135049|NM_130469,,,,,,,,,,,,,"[[[0.141, 0.137, 0.613, 0.109], [0.925, 0.029, 0.036, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.935, 0.045], [0.970, 0.010, 0.010, 0.010], [0.010, 0.967, 0.010, 0.013], [0.018, 0.010, 0.962, 0.010], [0.010, 0.010, 0.010, 0.970], [0.066, 0.914, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.385, 0.029, 0.576], [0.151, 0.486, 0.177, 0.186]]]",JDP2
MS00362|FOXI1,0.07757764613808271,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box I1,Homo Sapiens,293FT,2299,FOXI1,,NM_012188|NM_144769,,,,,,,,,,,,,"[[[0.106, 0.010, 0.874, 0.010], [0.014, 0.011, 0.010, 0.965], [0.886, 0.094, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.968, 0.010, 0.010, 0.012], [0.025, 0.834, 0.010, 0.131], [0.970, 0.010, 0.010, 0.010]]]",FOXI1
MS00475|HMX3,0.07769411278145283,,SELEX,,9,,23332764,Homeodomain Family,,H6 family homeobox 3,Homo Sapiens,293FT,340784,HMX3,,NM_001105574,,,,,,,,,,,,,"[[[0.446, 0.143, 0.252, 0.159], [0.218, 0.282, 0.336, 0.164], [0.052, 0.850, 0.018, 0.080], [0.734, 0.028, 0.202, 0.036], [0.586, 0.332, 0.028, 0.054], [0.010, 0.017, 0.010, 0.963], [0.107, 0.124, 0.010, 0.759], [0.734, 0.033, 0.100, 0.133], [0.535, 0.129, 0.179, 0.157], [0.291, 0.355, 0.174, 0.180], [0.329, 0.235, 0.307, 0.129]]]",HMX3
MS00556|GRHL1,0.0802199573862486,,SELEX,,9,,23332764,CP2 Transcription Factor Domain Family,,grainyhead-like 1 (Drosophila),Homo Sapiens,293T,29841,GRHL1,,NM_014552|NM_198182,,,,,,,,,,,,,"[[[0.559, 0.125, 0.156, 0.160], [0.849, 0.016, 0.081, 0.054], [0.936, 0.010, 0.013, 0.041], [0.010, 0.970, 0.010, 0.010], [0.071, 0.874, 0.010, 0.045], [0.093, 0.029, 0.809, 0.069], [0.010, 0.010, 0.970, 0.010], [0.088, 0.020, 0.010, 0.882], [0.043, 0.156, 0.010, 0.791], [0.149, 0.315, 0.075, 0.461]]]",GRHL1
MA0108|TBP,0.08024755544116641,,JASPAR,,6,,2329577,TATA box-binding Family,,TATA box binding protein,Homo Sapiens,,6908,TBP,GTF2D GTF2D1 MGC117320 MGC126054 MGC126055 SCA17 TFIID,NM_001172085|NM_003194,68.0,,,,,,,,,,,,"[[[0.157, 0.373, 0.391, 0.079], [0.041, 0.118, 0.046, 0.795], [0.905, 0.010, 0.010, 0.075], [0.010, 0.026, 0.010, 0.954], [0.910, 0.010, 0.013, 0.067], [0.689, 0.010, 0.010, 0.291], [0.925, 0.010, 0.051, 0.014], [0.571, 0.010, 0.113, 0.306], [0.398, 0.113, 0.404, 0.085], [0.144, 0.347, 0.386, 0.123], [0.213, 0.378, 0.329, 0.080], [0.211, 0.326, 0.329, 0.134], [0.211, 0.303, 0.329, 0.157], [0.175, 0.275, 0.357, 0.193], [0.198, 0.260, 0.360, 0.182]]]",TBP
MC00394|MYC,0.08075803107707025,,Cistrome,,20,,22102868,Helix-Loop-Helix Family,,v-myc myelocytomatosis viral oncogene homolog (avian),Homo Sapiens,BL-41,4609,MYC,,NM_002467,,,,,,,5179(13/16),-42.8282,(1) MYCN|(2) MYC|(3) MYC::MAX|(4) denovo|(5) denovo|(6) denovo|(7) denovo|(8) denovo|(9) HES5|(10) denovo|(11) ARNT|(12) E2F6|(13) denovo|(14) CLOCK::ARNTL|(15) denovo|(17) MAX|(18) denovo|(20) USF1|(21) USF2|(25) TFEB|(26) ATF3,(1) Helix-Loop-Helix Family|(2) Helix-Loop-Helix Family|(3) Helix-Loop-Helix Family|(4)|(5)|(6)|(7)|(8)|(9) Helix-Loop-Helix Family|(10)|(11) Helix-Loop-Helix Family|(12) Transcription Factor Family|(13)|(14) Helix-Loop-Helix Family|(15)|(17) Helix-Loop-Helix Family|(18)|(20) Helix-Loop-Helix Family|(21) Helix-Loop-Helix Family|(25) Helix-Loop-Helix Family|(26) Leucine Zipper Family,,21.0,"[[[0.351, 0.381, 0.127, 0.141], [0.102, 0.373, 0.438, 0.087], [0.016, 0.975, 0.003, 0.005], [0.964, 0.003, 0.025, 0.008], [0.005, 0.967, 0.015, 0.012], [0.092, 0.002, 0.904, 0.001], [0.088, 0.201, 0.005, 0.705], [0.002, 0.005, 0.945, 0.048], [0.064, 0.098, 0.736, 0.103], [0.142, 0.587, 0.098, 0.173]]]",MYC
UP00052|Osr2,0.08108165889526148,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,odd-skipped related 2 (Drosophila),Mus Musculus,,107587,Osr2,5430409I15Rik Osr2A Osr2B,NM_054049,95.0,,,,,,,,,,,,"[[[0.295, 0.231, 0.179, 0.295], [0.286, 0.187, 0.186, 0.341], [0.288, 0.235, 0.329, 0.148], [0.263, 0.191, 0.082, 0.464], [0.839, 0.118, 0.019, 0.024], [0.010, 0.970, 0.010, 0.010], [0.643, 0.010, 0.337, 0.010], [0.010, 0.010, 0.970, 0.010], [0.040, 0.010, 0.010, 0.940], [0.963, 0.010, 0.017, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.950, 0.010, 0.030], [0.343, 0.231, 0.134, 0.292], [0.342, 0.317, 0.167, 0.174], [0.362, 0.179, 0.147, 0.312], [0.267, 0.140, 0.436, 0.157]]]",Osr2
MC00471|Rxra,0.08138640747011877,,Cistrome,,16,,21988834,Hormone-nuclear Receptor Family,,retinoid X receptor alpha,Mus Musculus,F9,20181,Rxra,,NM_011305,,,,,,,5951(10/15),-38.8986,(1) denovo|(4) denovo|(5) denovo|(6) NR1H4|(7) PPARA|(8) Nr2f2|(9) HNF4A|(10) RARA|(11) ESRRB|(12) denovo|(13) RXRA|(14) NR0B1|(15) NR4A1|(16) NR4A2|(17) NR2C2|(20) ESRRA,(1)|(4)|(5)|(6) Hormone-nuclear Receptor Family|(7) Hormone-nuclear Receptor Family|(8) Hormone-nuclear Receptor Family|(9) Hormone-nuclear Receptor Family|(10) Hormone-nuclear Receptor Family|(11) Hormone-nuclear Receptor Family|(12)|(13) Hormone-nuclear Receptor Family|(14) Hormone-nuclear Receptor Family|(15) Hormone-nuclear Receptor Family|(16) Hormone-nuclear Receptor Family|(17) Hormone-nuclear Receptor Family|(20) Hormone-nuclear Receptor Family,,16.0,"[[[0.026, 0.467, 0.180, 0.328], [0.106, 0.479, 0.152, 0.263], [0.162, 0.334, 0.182, 0.322], [0.004, 0.022, 0.003, 0.971], [0.013, 0.012, 0.963, 0.011], [0.973, 0.009, 0.008, 0.009], [0.055, 0.929, 0.005, 0.011], [0.009, 0.968, 0.010, 0.012], [0.006, 0.358, 0.006, 0.629], [0.015, 0.544, 0.023, 0.418]]]",Rxra
MS00619|Uncx,0.08243040954252595,,SELEX,,9,,23332764,Homeodomain Family,,UNC homeobox,Mus Musculus,293T,22255,Uncx,,NM_013702,,,,,,,,,,,,,"[[[0.036, 0.514, 0.030, 0.420], [0.103, 0.147, 0.125, 0.625], [0.884, 0.044, 0.048, 0.024], [0.970, 0.010, 0.010, 0.010], [0.016, 0.011, 0.010, 0.963], [0.049, 0.078, 0.038, 0.835], [0.703, 0.080, 0.159, 0.058], [0.338, 0.256, 0.213, 0.193]]]",Uncx
MS00446|EN1,0.08260707622543534,,SELEX,,9,,23332764,Homeodomain Family,,engrailed homeobox 1,Homo Sapiens,293T,2019,EN1,,NM_001426,,,,,,,,,,,,,"[[[0.276, 0.304, 0.298, 0.122], [0.119, 0.469, 0.235, 0.177], [0.033, 0.519, 0.019, 0.429], [0.852, 0.068, 0.048, 0.032], [0.953, 0.017, 0.010, 0.020], [0.010, 0.015, 0.010, 0.965], [0.023, 0.110, 0.063, 0.804], [0.902, 0.011, 0.013, 0.074], [0.284, 0.204, 0.367, 0.145], [0.150, 0.385, 0.236, 0.229]]]",EN1
M00222|TCF3,0.08324523157687008,,Transfac,,4,,7791788,Helix-Loop-Helix Family,,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),Homo Sapiens,,6929,TCF3,E2A ITF1 MGC129647 MGC129648 VDIR bHLHb21,NM_001136139|NM_003200,255.0,,,,,,,,,,,,"[[[0.414, 0.172, 0.138, 0.276], [0.345, 0.172, 0.138, 0.345], [0.276, 0.069, 0.276, 0.379], [0.138, 0.138, 0.448, 0.276], [0.172, 0.069, 0.621, 0.138], [0.138, 0.345, 0.276, 0.241], [0.345, 0.010, 0.552, 0.093], [0.069, 0.069, 0.010, 0.852], [0.034, 0.922, 0.034, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.010, 0.103, 0.862, 0.025], [0.345, 0.448, 0.034, 0.173], [0.517, 0.034, 0.103, 0.346], [0.207, 0.172, 0.103, 0.518], [0.172, 0.172, 0.138, 0.518]]]",TCF3
MS00638|ESRRG,0.08324948055822445,,SELEX,,9,,23332764,Hormone-nuclear Receptor Family,,estrogen-related receptor gamma,Homo Sapiens,293FT,2104,ESRRG,,NM_001134285|NM_001438|NM_206594|NM_206595|NR_024099,,,,,,,,,,,,,"[[[0.885, 0.015, 0.083, 0.017], [0.951, 0.016, 0.023, 0.010], [0.010, 0.010, 0.940, 0.040], [0.010, 0.010, 0.970, 0.010], [0.058, 0.010, 0.084, 0.848], [0.010, 0.800, 0.024, 0.166], [0.768, 0.010, 0.212, 0.010], [0.182, 0.250, 0.114, 0.454], [0.170, 0.215, 0.202, 0.413], [0.032, 0.216, 0.069, 0.683], [0.130, 0.459, 0.357, 0.054], [0.766, 0.010, 0.200, 0.024], [0.950, 0.028, 0.012, 0.010], [0.010, 0.010, 0.961, 0.019], [0.010, 0.010, 0.970, 0.010], [0.049, 0.010, 0.109, 0.832], [0.010, 0.901, 0.013, 0.076], [0.851, 0.010, 0.129, 0.010]]]",ESRRG
UP00064|Sox18,0.08387989793683437,,UniPROBE,,9,,19443739,High Mobility Group (Box) Family,,SRY-box containing gene 18,Mus Musculus,,20672,Sox18,AI385749 Ra Ragl,NM_009236,13.0,,,,,,,,,,,,"[[[0.172, 0.237, 0.194, 0.397], [0.365, 0.126, 0.115, 0.394], [0.154, 0.330, 0.214, 0.302], [0.412, 0.287, 0.023, 0.278], [0.926, 0.010, 0.010, 0.054], [0.020, 0.014, 0.010, 0.956], [0.019, 0.010, 0.010, 0.961], [0.109, 0.026, 0.845, 0.020], [0.053, 0.010, 0.015, 0.922], [0.107, 0.078, 0.051, 0.764], [0.208, 0.284, 0.245, 0.263], [0.231, 0.144, 0.075, 0.550], [0.375, 0.276, 0.167, 0.182], [0.477, 0.100, 0.176, 0.247], [0.375, 0.278, 0.139, 0.208], [0.352, 0.239, 0.148, 0.261]]]",Sox18
MS00495|HOXC10,0.08435265260561381,,SELEX,,9,,23332764,Homeodomain Family,,homeobox C10,Homo Sapiens,293FT,3226,HOXC10,,NM_017409,,,,,,,,,,,,,"[[[0.162, 0.202, 0.570, 0.066], [0.011, 0.479, 0.010, 0.500], [0.531, 0.371, 0.083, 0.015], [0.852, 0.064, 0.072, 0.012], [0.066, 0.010, 0.010, 0.914], [0.626, 0.012, 0.018, 0.344], [0.939, 0.010, 0.010, 0.041], [0.849, 0.072, 0.025, 0.054], [0.588, 0.134, 0.132, 0.146], [0.384, 0.213, 0.146, 0.257]]]",HOXC10
MC00532|Mycn,0.08452163419238623,,Cistrome,,20,,18555785,Helix-Loop-Helix Family,,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",Mus Musculus,E14,18109,Mycn,,NM_008709,,,,,,,1065(1/1),-41.5674,(1) Mycn|(2) Myc|(3) denovo|(4) MYC::MAX|(5) denovo|(6) PIF1|(7) Arnt|(8) USF2|(9) denovo|(10) denovo|(11) Myc|(13) N-Myc|(14) CLOCK::ARNTL|(15) CBF1|(16) USF1|(17) c-Myc|(18) MYC|(19) Max|(20) bHLH66|(21) denovo|(22) PHO4|(23) denovo|(24) USF1|(25) c-Myc|(27) denovo|(28) HAC1|(29) PHO4|(30) PIF3|(31) HIF1A|(32) Ebox|(33) MYC|(34) TAF-1|(35) TAF-1|(36) CPRF-1|(38) RITA-1|(39) GBP|(40) EmBP-1|(41) ARNT|(42) USF1|(44) HBP-1a|(45) CG1|(46) PIF3|(47) ABF|(48) MYC|(49) Stra13|(50) CPRF-1|(51) TCF4|(52) USF1|(53) ARNT|(54) HY5|(56) CBF1|(58) CPRF-2|(60) CPRF-2|(64) CBF1|(68) TFEB|(70) Opaque-2|(73) USF1|(74) ARNT|(75) EPAS1,(1) Helix-Loop-Helix Family|(2) Helix-Loop-Helix Family|(3)|(4) Helix-Loop-Helix Family|(5)|(6)|(7) Helix-Loop-Helix Family|(8) Helix-Loop-Helix Family|(9)|(10)|(11) Helix-Loop-Helix Family|(13)|(14) Helix-Loop-Helix Family|(15)|(16) Helix-Loop-Helix Family|(17)|(18) Helix-Loop-Helix Family|(19) Helix-Loop-Helix Family|(20)|(21)|(22)|(23)|(24) Helix-Loop-Helix Family|(25)|(27)|(28)|(29)|(30)|(31) Helix-Loop-Helix Family|(32)|(33) Helix-Loop-Helix Family|(34)|(35)|(36)|(38)|(39)|(40)|(41) Helix-Loop-Helix Family|(42) Helix-Loop-Helix Family|(44)|(45)|(46)|(47)|(48) Helix-Loop-Helix Family|(49)|(50)|(51) Helix-Loop-Helix Family|(52) Helix-Loop-Helix Family|(53) Helix-Loop-Helix Family|(54)|(56)|(58)|(60)|(64)|(68) Helix-Loop-Helix Family|(70)|(73) Helix-Loop-Helix Family|(74) Helix-Loop-Helix Family|(75) Helix-Loop-Helix Family,,59.0,"[[[0.162, 0.077, 0.611, 0.149], [0.104, 0.696, 0.114, 0.086], [0.061, 0.933, 0.002, 0.004], [0.719, 0.008, 0.201, 0.072], [0.018, 0.879, 0.007, 0.096], [0.011, 0.012, 0.968, 0.008], [0.007, 0.030, 0.006, 0.957], [0.004, 0.011, 0.970, 0.014], [0.077, 0.462, 0.361, 0.100], [0.153, 0.131, 0.364, 0.353]]]",Mycn
MS00361|FOXG1,0.08466820340387643,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box G1,Homo Sapiens,293FT,2290,FOXG1,,NM_005249,,,,,,,,,,,,,"[[[0.484, 0.073, 0.396, 0.047], [0.039, 0.762, 0.010, 0.189], [0.012, 0.010, 0.968, 0.010], [0.010, 0.010, 0.970, 0.010], [0.965, 0.011, 0.014, 0.010], [0.010, 0.957, 0.010, 0.023], [0.970, 0.010, 0.010, 0.010], [0.010, 0.964, 0.015, 0.011], [0.953, 0.018, 0.019, 0.010], [0.964, 0.010, 0.010, 0.016], [0.011, 0.010, 0.040, 0.939], [0.332, 0.010, 0.563, 0.095]]]",FOXG1
MS00620|VAX1,0.085803623250093,,SELEX,,9,,23332764,Homeodomain Family,,ventral anterior homeobox 1,Homo Sapiens,293FT,11023,VAX1,,NM_001112704|NM_199131,,,,,,,,,,,,,"[[[0.073, 0.450, 0.074, 0.403], [0.097, 0.142, 0.014, 0.747], [0.794, 0.131, 0.029, 0.046], [0.939, 0.027, 0.010, 0.024], [0.051, 0.015, 0.036, 0.898], [0.063, 0.040, 0.243, 0.654], [0.744, 0.012, 0.188, 0.056], [0.186, 0.363, 0.178, 0.273]]]",VAX1
MS00452|ESX1,0.08668406093419367,,SELEX,,9,,23332764,Homeodomain Family,,ESX homeobox 1,Homo Sapiens,FT293,80712,ESX1,,NM_153448,,,,,,,,,,,,,"[[[0.289, 0.279, 0.246, 0.186], [0.162, 0.428, 0.191, 0.219], [0.061, 0.497, 0.015, 0.427], [0.790, 0.074, 0.079, 0.057], [0.898, 0.067, 0.012, 0.023], [0.010, 0.025, 0.010, 0.955], [0.072, 0.125, 0.047, 0.756], [0.909, 0.018, 0.010, 0.063], [0.288, 0.260, 0.274, 0.178], [0.195, 0.415, 0.195, 0.195]]]",ESX1
MS00533|LBX2,0.08705543624695433,,SELEX,,9,,23332764,Homeodomain Family,,ladybird homeobox 2,Homo Sapiens,293FT,85474,LBX2,,NM_001009812,,,,,,,,,,,,,"[[[0.184, 0.531, 0.224, 0.061], [0.062, 0.090, 0.141, 0.707], [0.145, 0.364, 0.309, 0.182], [0.319, 0.019, 0.593, 0.069], [0.806, 0.065, 0.089, 0.040], [0.235, 0.337, 0.176, 0.252], [0.029, 0.514, 0.343, 0.114], [0.043, 0.217, 0.109, 0.631], [0.572, 0.071, 0.286, 0.071], [0.682, 0.010, 0.231, 0.077], [0.010, 0.125, 0.188, 0.677], [0.010, 0.136, 0.182, 0.672], [0.869, 0.010, 0.111, 0.010]]]",LBX2
MS00398|Foxk1,0.08749631357532939,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box K1,Mus Musculus,293T,17425,Foxk1,,NM_199068,,,,,,,,,,,,,"[[[0.042, 0.866, 0.067, 0.025], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.086, 0.010, 0.010, 0.894], [0.030, 0.787, 0.112, 0.071]]]",Foxk1
M01466|Obox3,0.08843785109448338,,Transfac,,4,,18585359,Homeodomain Family,,oocyte specific homeobox 3,Mus Musculus,,246791,Obox3,-,NM_145707,85.0,,,,,,,,,,,,"[[[0.270, 0.170, 0.150, 0.410], [0.130, 0.270, 0.350, 0.250], [0.343, 0.212, 0.333, 0.112], [0.152, 0.162, 0.586, 0.100], [0.260, 0.030, 0.630, 0.080], [0.110, 0.040, 0.770, 0.080], [0.080, 0.010, 0.900, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.960, 0.010, 0.010, 0.020], [0.713, 0.020, 0.129, 0.138], [0.140, 0.670, 0.090, 0.100], [0.280, 0.060, 0.160, 0.500], [0.430, 0.290, 0.110, 0.170], [0.260, 0.270, 0.070, 0.400]]]",Obox3
MS00653|NR2E1,0.0893607260654884,,SELEX,,9,,23332764,Hormone-nuclear Receptor Family,,"nuclear receptor subfamily 2, group E, member 1",Homo Sapiens,293T,7101,NR2E1,,NM_003269,,,,,,,,,,,,,"[[[0.655, 0.115, 0.162, 0.068], [0.663, 0.085, 0.162, 0.090], [0.242, 0.040, 0.683, 0.035], [0.010, 0.150, 0.075, 0.765], [0.022, 0.833, 0.054, 0.091], [0.925, 0.010, 0.055, 0.010], [0.638, 0.103, 0.103, 0.156], [0.340, 0.058, 0.199, 0.403], [0.819, 0.010, 0.032, 0.139], [0.821, 0.042, 0.111, 0.026], [0.126, 0.022, 0.842, 0.010], [0.026, 0.184, 0.010, 0.780], [0.010, 0.793, 0.047, 0.150], [0.881, 0.010, 0.099, 0.010]]]",NR2E1
MA0103|ZEB1,0.09152787090128589,,JASPAR,,6,,8065305,BetaBetaAlpha-zinc finger Family,,zinc finger E-box binding homeobox 1,Homo Sapiens,,6935,ZEB1,AREB6 BZP DELTAEF1 FECD6 MGC133261 NIL2A TCF8 ZFHEP ZFHX1A,NM_001128128|NM_001174093|NM_001174094|NM_001174095|NM_001174096|NM_030751|NR_024285|NR_024286|NR_024287,17.0,,,,,,,,,,,,"[[[0.024, 0.829, 0.024, 0.123], [0.927, 0.010, 0.049, 0.014], [0.010, 0.956, 0.024, 0.010], [0.010, 0.907, 0.073, 0.010], [0.010, 0.024, 0.010, 0.956], [0.244, 0.024, 0.390, 0.342]]]",ZEB1
UP00117|Hoxd11,0.09159535729710006,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox D11,Mus Musculus,,15431,Hoxd11,E230017H14Rik Hox-4.6 Hox-5.4 Hox-5.5,NM_008273,88.0,,,,,,,,,,,,"[[[0.195, 0.300, 0.070, 0.435], [0.383, 0.236, 0.118, 0.263], [0.434, 0.151, 0.233, 0.182], [0.319, 0.193, 0.329, 0.159], [0.078, 0.058, 0.854, 0.010], [0.010, 0.022, 0.010, 0.958], [0.011, 0.969, 0.010, 0.010], [0.172, 0.010, 0.808, 0.010], [0.010, 0.010, 0.010, 0.970], [0.840, 0.010, 0.010, 0.140], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.626, 0.164, 0.022, 0.188], [0.276, 0.193, 0.123, 0.408], [0.229, 0.351, 0.154, 0.266], [0.249, 0.303, 0.171, 0.277], [0.179, 0.158, 0.196, 0.467]]]",Hoxd11
MS00493|HOXB5,0.09365069717456848,,SELEX,,9,,23332764,Homeodomain Family,,homeobox B5,Homo Sapiens,293FT,3215,HOXB5,,NM_002147,,,,,,,,,,,,,"[[[0.357, 0.191, 0.264, 0.188], [0.253, 0.259, 0.247, 0.241], [0.070, 0.335, 0.010, 0.585], [0.582, 0.297, 0.024, 0.097], [0.845, 0.135, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.193, 0.012, 0.785], [0.670, 0.183, 0.010, 0.137], [0.370, 0.166, 0.259, 0.205], [0.261, 0.222, 0.261, 0.256]]]",HOXB5
